ProjectNumber,ModNumber,ModTitle,POPStart,POPEnd,AwardAmount,FundingAmount
020033.003,0,NULL,NULL,NULL,,145094.50
020033.003,1,NULL,NULL,NULL,,-1545.15
020033.004,0,Funded/Obligated amount is $60k less than award amount (see section 5.6 - after 5.6.2.4),2012-12-01T00:00:00,2014-01-31T00:00:00,,1560389.84
020033.004,1,Provides $20k increase in Consultation Services ceiling only - obligation only given in CNs.,NULL,NULL,,NULL
020033.004,2,Provides $20k increase in Consultation Services ceiling only - obligation only given in CNs.,NULL,NULL,,NULL
020033.004,3,POP extension only,2012-12-01T00:00:00,2014-03-31T00:00:00,,NULL
020033.004,CNs,"CN01 = $4,062.05  CN02 = $3,808.17  CN03 = $3,808.17  CN04 = $47,092.63  CN05 = $9,307.02  CN06 = $31,921.96",NULL,NULL,,100000.00
020033.005,0,NULL,2013-06-29T00:00:00,2015-01-31T00:00:00,,215194.56
020033.005,1,NULL,NULL,NULL,,29072.79
020033.006,0,"Adjusted down $374,781.15 on 3/11 to account for ceiling priced CLINS that require CN authorization.",2013-09-23T00:00:00,2017-12-29T00:00:00,,1206760.41
020033.006,C.N. 4,NULL,NULL,NULL,,2886.14
020033.006,C.N. 5,NULL,NULL,NULL,,3016.00
020033.006,CNs 1,"CN1 = $48,921.93 (3/07/14)",NULL,NULL,,48921.93
020033.006,CNs 2,"CN2 = $12,248.30 (5/16/14)",NULL,NULL,,12248.30
020033.006,CNs 3,NULL,NULL,NULL,,12248.30
020033.006,Enclosure 1,NULL,NULL,NULL,,29601.26
020033.006,Mod 1,NULL,NULL,NULL,,NULL
020033.006,Mod 2,NULL,NULL,NULL,,NULL
020033.007,0,NULL,2013-12-01T00:00:00,2014-11-30T00:00:00,,1442914.18
020033.007,CN 01,NULL,NULL,NULL,,14179.37
020033.007,CN 02,NULL,NULL,NULL,,11448.66
020033.007,CN 03,NULL,NULL,NULL,,14427.00
020033.007,CN 04,NULL,NULL,NULL,,19944.97
020033.008,0,Britney.  Please work with Aran on setting up subtasks under this task.,2014-09-30T00:00:00,2015-09-30T00:00:00,,462652.04
020033.008,1,NULL,NULL,NULL,,483776.53
020033.008,2,NULL,2014-09-30T00:00:00,2016-01-20T00:00:00,,104956.47
020033.008,3,NULL,2014-09-30T00:00:00,2016-09-30T00:00:00,,47963.93
020033.009,0,NULL,2014-11-26T00:00:00,2016-02-29T00:00:00,,1478726.47
020033.009,1,NULL,NULL,NULL,,NULL
020033.010,1,NULL,NULL,NULL,,128172.04
020033.010,2,NULL,2015-08-03T00:00:00,2016-11-30T00:00:00,,35101.34
020033.011,0,CN Nos. 1-7 were added to the task order,2015-11-30T00:00:00,2017-02-28T00:00:00,,1295846.63
020033.011,1,Mod to realign misc consulting services,NULL,NULL,,-21200.00
020033.011,CN 1-7,See above for copies of CN 1-7,NULL,NULL,,71200.00
020033.012,0,NULL,2016-02-25T00:00:00,2017-02-24T00:00:00,,107943.62
020033.012,1,NULL,2017-02-25T00:00:00,2018-02-24T00:00:00,,110048.06
020033.012,2,NULL,NULL,NULL,,NULL
020033.012,3,NULL,2016-02-25T00:00:00,2019-02-24T00:00:00,,112729.34
020033.013,0,NULL,2016-09-30T00:00:00,2017-11-30T00:00:00,,266917.24
020033.013,1,NULL,NULL,NULL,,NULL
020033.014,0,NULL,2016-11-30T00:00:00,2018-02-28T00:00:00,,1341602.41
020033.014,06,"Increase Option 002 by $266,000",NULL,NULL,,226000.00
020033.014,1,NULL,NULL,NULL,,154000.00
020033.014,2,NULL,2016-11-30T00:00:00,2019-02-28T00:00:00,,1370007.26
020033.014,3,Exercise Option 5,2016-11-30T00:00:00,2019-11-30T00:00:00,,1403472.47
020033.014,4,Adds $75K in value and funding.,2016-11-30T00:00:00,2020-02-28T00:00:00,,75000.00
020033.014,5,Mod 5 exercises Option 5,NULL,NULL,,126730.71
020033.014,CN-1,NULL,NULL,NULL,,NULL
020033.014,CN-10,NULL,NULL,NULL,,NULL
020033.014,CN-11,NULL,NULL,NULL,,NULL
020033.014,CN-12,CN 12 Evaporator procurement,NULL,NULL,,NULL
020033.014,CN-2,NULL,NULL,NULL,,NULL
020033.014,CN-3,NULL,NULL,NULL,,NULL
020033.014,CN-4,NULL,NULL,NULL,,NULL
020033.014,CN-5,NULL,NULL,NULL,,NULL
020033.014,CN-6,NULL,NULL,NULL,,NULL
020033.014,CN-7,NULL,NULL,NULL,,NULL
020033.014,CN-8,NULL,NULL,NULL,,NULL
020033.014,CN-9,NULL,NULL,NULL,,NULL
020033.015,0,NULL,2017-02-21T00:00:00,2017-12-30T00:00:00,,36323.21
020035,NULL,NULL,NULL,NULL,,NULL
020037,NULL,NULL,NULL,NULL,,NULL
020038,1 - A00001,"Mod 1 - Increase Period of Performance, RFP-01 Additional Furniture Design",2013-09-19T00:00:00,2013-06-08T00:00:00,,NULL
020038,10 - A00007,"Mod 10 - Increase Funding, RFP-10 Furniture",NULL,NULL,,47313.66
020038,11 - A00008,"Mod 11 - Increase Funding, RFP-13",NULL,NULL,,43200.95
020038,12 - A00009,"Mod 12 - Scope of Work, RFP-14",NULL,NULL,,NULL
020038,13 - A00010,Mod 13 - Scope and Increase Value,NULL,NULL,,116639.59
020038,2 - P00002,"Mod 2 - Increase Funding, RFP-06 Additional Comm",NULL,NULL,,559995.18
020038,3 - P00001,"Mod 3 - Increase Funding, RFP-05, Additional Electrical",NULL,NULL,,538615.36
020038,4 - A00002,"Mod 4 - Increase Funding, RFP-03 Additional Swing Space",NULL,NULL,,189818.83
020038,5 - A00003,"Mod 5 - Scope Change, JWICS 1500",NULL,NULL,,NULL
020038,6 - P00003,"Mod 6 - Increase Funding, RFP-07 LED 1600",NULL,NULL,,149326.08
020038,7 - P00004,"Mod 7 - Increase Period of Performance, RFP-02 Additional Furniture Construction",2013-06-08T00:00:00,2013-07-07T00:00:00,,NULL
020038,8 - A00006,"Mod 8 - Increase Funding, RFP-11 AFSPC1 Renovation",NULL,NULL,,68924.17
020038,9 - A00005,"Mod 9 - Increase Funding, RFP-12 Communications",NULL,NULL,,105519.82
020038,Award,"Original Contract Award W9128F-11-C-0069, NWS Project 20038",2011-09-26T00:00:00,2013-03-19T00:00:00,,NULL
020040,0,NULL,2011-10-01T00:00:00,2012-09-30T00:00:00,,124212.50
020040,1,NULL,NULL,NULL,,29964.41
020040,2,NULL,2011-10-01T00:00:00,2013-09-30T00:00:00,,NULL
020040,3,POP Extension only,2011-10-01T00:00:00,2014-09-30T00:00:00,,NULL
020040,4,"Final Contract reconciliation & deobligation.  Mod 4 = $27,684.66 deobligation for 20040 and $97,524.81 transfer to 20069 & 20084.  20040 = $28,967.44 / 20069 = $6,022.00 / 20084 = $91,502.81  ",NULL,NULL,,-125209.47
020041,NULL,NULL,NULL,NULL,,NULL
020041.001,NULL,NULL,NULL,NULL,,NULL
020042,NULL,NULL,NULL,NULL,,NULL
020042,NULL,NULL,NULL,NULL,,NULL
020042,1,This contract release includes Modification 1 for this contract,NULL,NULL,,NULL
020043,0,NULL,2011-09-30T00:00:00,2012-09-29T00:00:00,,NULL
020043,1,NULL,2011-09-30T00:00:00,2013-09-29T00:00:00,,NULL
020043,2,NULL,2011-09-30T00:00:00,2014-09-29T00:00:00,,NULL
020043,3,POP Modification only.,2011-09-30T00:00:00,2015-09-29T00:00:00,,NULL
020043,4,Exercised Option Period 4 additional funding awarded but not obligated.,2011-09-30T00:00:00,2016-09-29T00:00:00,,NULL
020043,6,NULL,2011-09-30T00:00:00,2017-03-29T00:00:00,,NULL
020043.002,0,NULL,2013-09-27T00:00:00,2014-07-07T00:00:00,,289169.50
020043.002,1,Administrative Mod to break funding into CLINS,NULL,NULL,,NULL
020043.002,2,NULL,NULL,NULL,,-7144.80
020043.002,3,NULL,NULL,NULL,,-9634.00
020045,1,Increase funding  ,NULL,NULL,,NULL
020045,2,See attached closeout form.  This Project was completed prior to Dashboard implementation.,NULL,NULL,,5540956.41
020046,NULL,NULL,NULL,NULL,,NULL
020047,2,Admin mod to update the dashboard system,2012-02-01T00:00:00,2013-09-30T00:00:00,,135000.00
020047,3,NULL,2012-02-01T00:00:00,2014-09-30T00:00:00,,20000.00
020047,4,NULL,NULL,NULL,,50000.00
020047,5,NULL,2012-02-01T00:00:00,2015-09-30T00:00:00,,NULL
020047,Admin,Funds have been de-obligated in order to match the amount billed to and paid by the client.,NULL,NULL,,-2377.61
020048,NULL,NULL,NULL,NULL,,NULL
020049,034,NULL,2012-03-01T00:00:00,2014-02-22T00:00:00,,NULL
020049,101,NULL,NULL,NULL,,NULL
020049,95,NULL,NULL,NULL,,NULL
020049.001,39,"removed $14,821.22 from task 12-001 and moved it to task 13-005/15-305",NULL,NULL,,436698.78
020049.001,42,"removed $3,000.00 from task 12-001 and moved it to task 13-005/15-305",NULL,NULL,,-3000.00
020049.002,034,Cange completion date to 4/30/14,2012-04-24T00:00:00,2014-04-30T00:00:00,,373400.00
020049.002,45,NULL,2012-04-24T00:00:00,2015-08-31T00:00:00,,-50000.00
020049.002,61,NULL,NULL,NULL,,50000.00
020049.003,NULL,NULL,NULL,NULL,,NULL
020049.004,52,NULL,2012-09-30T00:00:00,2014-04-30T00:00:00,,NULL
020049.004,Admin,NULL,NULL,NULL,,351937.66
020049.005,NULL,NULL,NULL,NULL,,NULL
020049.006,NULL,NULL,NULL,NULL,,NULL
020049.007,034,"This mod authorizes NW to transfer $35,536.00 from this task to a new task (13-001) under the same prime contract.",NULL,NULL,,83447.00
020049.007,93,NULL,NULL,NULL,,-3522.31
020049.008,1,NULL,NULL,NULL,,1131506.00
020049.008,41,NULL,2012-05-21T00:00:00,2014-09-30T00:00:00,,281393.32
020049.008,54,NULL,NULL,NULL,,49910.00
020049.008,59,NULL,NULL,NULL,,350000.00
020049.008,62,NULL,NULL,NULL,,400000.00
020049.008,70,NULL,2012-05-21T00:00:00,2016-09-30T00:00:00,,600000.00
020049.008,71,NULL,NULL,NULL,,200000.00
020049.008,82,NULL,NULL,NULL,,55000.00
020049.008,85,NULL,NULL,NULL,,150000.00
020049.008,91,NULL,NULL,NULL,,105000.00
020049.008,99,NULL,NULL,NULL,,75000.00
020049.009,21,NULL,NULL,NULL,,512789.00
020049.009,49,NULL,NULL,NULL,,-328858.78
020049.009,69,NULL,NULL,NULL,,-8919.48
020049.010,NULL,NULL,NULL,NULL,,NULL
020049.011,01,NULL,NULL,NULL,,NULL
020049.012,NULL,NULL,NULL,NULL,,NULL
020049.013,034,NULL,NULL,NULL,,60000.00
020049.013,1,NULL,2012-07-25T00:00:00,2013-03-31T00:00:00,,128391.58
020049.013,37,"Mod 37 - Adds $22,500.00 in additional funding, extends pop through 3/29/13.  DOE has informed NWS that they are only funding this project through 3/29/13.",2012-07-25T00:00:00,2013-03-29T00:00:00,,22500.00
020049.013,48,NULL,NULL,NULL,,-1515.78
020049.014,19,NULL,NULL,NULL,,300000.00
020049.014,70,NULL,2012-08-09T00:00:00,2015-09-30T00:00:00,,NULL
020049.014,82,NULL,NULL,NULL,,NULL
020049.014,89,NULL,NULL,NULL,,NULL
020049.014,91,NULL,NULL,NULL,,115000.00
020049.015,admin,NULL,NULL,NULL,,115671.60
020049.016,0,NULL,2012-09-01T00:00:00,2013-06-30T00:00:00,,NULL
020049.016,1,NULL,NULL,NULL,,92883.81
020049.016,52,NULL,2012-09-01T00:00:00,2013-12-31T00:00:00,,NULL
020049.017,0,NULL,NULL,NULL,,406047.68
020049.017,79,NULL,NULL,NULL,,-50000.00
020049.018,034,NULL,2012-10-01T00:00:00,2013-03-31T00:00:00,,101389.60
020049.018,93,NULL,NULL,NULL,,-16598.19
020049.019,0,NULL,NULL,NULL,,50000.00
020049.019,1,NULL,NULL,NULL,,250000.00
020049.019,2,Mod 2 - email from client CO stating that the funded amount for this task is $150k.,NULL,NULL,,-150000.00
020049.019,54,NULL,NULL,NULL,,-42088.66
020049.019,70,NULL,2012-11-27T00:00:00,2015-09-30T00:00:00,,NULL
020049.019,82,NULL,2012-11-27T00:00:00,2017-02-22T00:00:00,,100000.00
020049.019,89,NULL,NULL,NULL,,100000.00
020049.019,91,NULL,NULL,NULL,,30000.00
020049.019,93,NULL,NULL,NULL,,61000.00
020049.019,Admin Mod,Administrative Modification to increase funding to equal paid billing amount.  Client may increase funding at a future date. ts,NULL,NULL,,632.52
020049.301,0,NULL,NULL,NULL,,21125.90
020049.301,59,NULL,NULL,NULL,,-19137.00
020049.301,Admin,funds changed to match the amount billed to and paid by the client. ,NULL,NULL,,12421.20
020049.302,0,NULL,NULL,NULL,,100000.00
020049.302,93,Administrative modification to match what was billed and paid by the client. ,NULL,NULL,,-107.93
020049.303,51,NULL,2013-08-21T00:00:00,2013-09-29T00:00:00,,10520.23
020049.303,53,NULL,NULL,NULL,,3606.53
020049.304,0,Reference cost estimate for rate categories and rates,2013-03-07T00:00:00,2013-05-10T00:00:00,,7255.00
020049.304,00,Emial notification to extend the POP through 9/30/13,2013-03-07T00:00:00,2013-09-30T00:00:00,,NULL
020049.305,039,Mod to move $ from task 12-001 to task 13-005,2013-03-18T00:00:00,2013-04-12T00:00:00,,14821.22
020049.305,42,"moved $3,000.00 from task 12-001 to task 13-005/15-305",NULL,NULL,,3000.00
020049.305,tbd,NULL,2013-03-18T00:00:00,2013-06-30T00:00:00,,6776.40
020049.306,0,NULL,2013-06-26T00:00:00,2013-08-15T00:00:00,,91468.52
020049.306,1,NULL,NULL,NULL,,6489.31
020049.307,0,NULL,2013-05-01T00:00:00,2013-08-31T00:00:00,,130283.00
020049.308,0,NULL,2013-04-15T00:00:00,2014-09-30T00:00:00,,400000.00
020049.308,53,NULL,NULL,NULL,,150000.00
020049.308,70,NULL,2013-04-15T00:00:00,2015-09-30T00:00:00,,NULL
020049.308,71,NULL,NULL,NULL,,200000.00
020049.308,85,NULL,NULL,NULL,,45000.00
020049.309,0,NULL,2013-08-01T00:00:00,2015-08-31T00:00:00,,25000.00
020049.309,closeout,Funds have been de-obligated in order to match the amount billed to and paid by the client. ,NULL,NULL,,-23609.25
020049.311,0,NULL,2013-06-21T00:00:00,2013-08-02T00:00:00,,8288.00
020049.311,93,NULL,NULL,NULL,,-4528.56
020049.312,0,NULL,2013-07-19T00:00:00,2013-08-02T00:00:00,,1164.80
020049.312,93,NULL,NULL,NULL,,-844.48
020049.401,0,NULL,2013-12-16T00:00:00,2015-04-16T00:00:00,,582928.00
020049.401,87,NULL,NULL,NULL,,-457928.00
020049.401,closeout,Funds have been de-obligated in order to match the amount billed to and paid by the client. ,NULL,NULL,,-60710.03
020049.402,59,NULL,2014-02-10T00:00:00,2015-02-06T00:00:00,,19136.06
020049.402,91,NULL,NULL,NULL,,NULL
020049.403,60,NULL,2014-02-24T00:00:00,2014-08-31T00:00:00,,9539.46
020049.403,65,NULL,NULL,NULL,,11856.54
020049.403,72,NULL,2014-02-24T00:00:00,2015-01-30T00:00:00,,NULL
020049.403,closeout,Funds have been de-obligated in order to match the amount billed to and paid by the client. ,NULL,NULL,,-9331.74
020049.404,63,NULL,2014-05-12T00:00:00,2014-09-30T00:00:00,,50000.00
020049.404,89,NULL,NULL,NULL,,50000.00
020049.405,64,NULL,2014-05-15T00:00:00,2015-04-15T00:00:00,,90000.00
020049.405,79,NULL,2014-05-15T00:00:00,2015-04-30T00:00:00,,11918.90
020049.406,67,NULL,2014-06-23T00:00:00,2014-09-30T00:00:00,,18648.00
020049.406,closeout,Funds have been de-obligated in order to match the amount billed to and paid by the client. ,NULL,NULL,,-2634.84
020049.407,66,NULL,2014-06-23T00:00:00,2014-12-31T00:00:00,,59545.00
020049.407,70,NULL,2014-06-23T00:00:00,2015-07-31T00:00:00,,60455.00
020049.407,72,NULL,NULL,NULL,,80000.00
020049.407,78,NULL,NULL,NULL,,60186.00
020049.407,86,NULL,NULL,NULL,,92781.91
020049.407,87,NULL,NULL,NULL,,NULL
020049.407,90,NULL,2015-06-24T00:00:00,2016-09-30T00:00:00,,10000.00
020049.407,94,NULL,NULL,NULL,,-7651.89
020049.408,0,NULL,2014-08-04T00:00:00,2014-09-30T00:00:00,,17914.40
020049.408,71,NULL,NULL,NULL,,3700.00
020049.408,86,NULL,NULL,NULL,,-2054.80
020049.501,73,NULL,2014-12-08T00:00:00,2015-09-30T00:00:00,,100000.00
020049.501,87,NULL,NULL,NULL,,300000.00
020049.501,91,NULL,NULL,NULL,,8062.34
020049.501,91,NULL,NULL,NULL,,-210000.00
020049.502,74,NULL,2015-01-26T00:00:00,2015-04-10T00:00:00,,66362.87
020049.502,79,NULL,2015-01-26T00:00:00,2015-06-30T00:00:00,,NULL
020049.502,85,NULL,2015-01-26T00:00:00,2015-12-31T00:00:00,,83637.13
020049.502,91,NULL,NULL,NULL,,125000.00
020049.502,93,"Waiting on official mod, but email approval to add 100k",NULL,NULL,,100000.00
020049.502,97,NULL,NULL,NULL,,-23552.11
020049.503,78,NULL,2015-03-09T00:00:00,2015-09-30T00:00:00,,21558.90
020049.503,91,NULL,NULL,NULL,,-5298.19
020049.504,76,NULL,2015-02-09T00:00:00,2015-03-31T00:00:00,,7380.00
020049.505,79,NULL,2015-03-19T00:00:00,2016-02-22T00:00:00,,15000.00
020049.505,80,NULL,NULL,NULL,,35000.00
020049.505,82,NULL,NULL,NULL,,100000.00
020049.505,90,NULL,2015-03-19T00:00:00,2016-06-30T00:00:00,,25000.00
020049.505,97,NULL,2015-03-19T00:00:00,2017-02-17T00:00:00,,50000.00
020049.506,79,NULL,2015-03-23T00:00:00,2015-12-31T00:00:00,,50000.00
020049.507,0,NULL,2015-04-03T00:00:00,2015-05-15T00:00:00,,54597.00
020049.507,1,NULL,2015-04-03T00:00:00,2015-06-30T00:00:00,,NULL
020049.507,80,NULL,2015-04-03T00:00:00,2015-12-31T00:00:00,,27303.00
020049.507,89,NULL,NULL,NULL,,18100.00
020049.508,0,NULL,2015-04-16T00:00:00,2016-04-15T00:00:00,,88081.10
020049.508,91,NULL,NULL,NULL,,20000.00
020049.509,0,NULL,2015-05-05T00:00:00,2015-09-30T00:00:00,,200000.00
020049.509,82,NULL,NULL,NULL,,200000.00
020049.509,85,NULL,NULL,NULL,,-200000.00
020049.509,86,NULL,NULL,NULL,,200000.00
020049.509,89,NULL,NULL,NULL,,600000.00
020049.509,91,NULL,NULL,NULL,,700000.00
020049.509,93,NULL,NULL,NULL,,6000.00
020049.509,99,NULL,NULL,NULL,,440000.00
020049.510,0,NULL,2015-04-06T00:00:00,2015-10-31T00:00:00,,20000.00
020049.510,82,NULL,NULL,NULL,,100000.00
020049.510,91,NULL,NULL,NULL,,-70000.00
020049.510,Admin,NULL,NULL,NULL,,-21582.37
020049.511,84,NULL,2015-08-04T00:00:00,2015-09-30T00:00:00,,35195.00
020049.511,93,NULL,NULL,NULL,,-1848.89
020049.512,88,NULL,2015-09-01T00:00:00,2016-09-01T00:00:00,,50000.00
020049.513,87,NULL,2015-10-01T00:00:00,2017-09-30T00:00:00,,100000.00
020049.513,91,NULL,NULL,NULL,,120000.00
020049.513,99,NULL,NULL,NULL,,60000.00
020049.601,102,NULL,NULL,NULL,,-3437.62
020049.601,88,NULL,2015-11-05T00:00:00,2016-03-04T00:00:00,,74722.00
020049.601,92,NULL,2015-11-05T00:00:00,2017-02-22T00:00:00,,NULL
020049.601,93,NULL,NULL,NULL,,NULL
020049.601,93a,NULL,NULL,NULL,,27000.00
020049.601,94,NULL,NULL,NULL,,18000.00
020049.602,0,NULL,2015-12-21T00:00:00,2016-03-21T00:00:00,,30000.00
020049.602,94,NULL,2015-12-31T00:00:00,2017-02-22T00:00:00,,39193.76
020049.602,96,NULL,NULL,NULL,,16088.18
020049.603,0,NULL,2016-04-25T00:00:00,2016-12-31T00:00:00,,50000.00
020049.603,93,NULL,NULL,NULL,,90495.00
020049.603,97,NULL,NULL,NULL,,-65204.84
020050,0,NULL,NULL,NULL,,994032.06
020050,1,"Mod 1 adds Change Orders 1, 2, and 3",2013-06-12T00:00:00,2013-10-31T00:00:00,,591236.00
020050,2,Mod 2 is to increase the final contract price to match what was billed due to increase in quantities provided under the contract.,NULL,NULL,,52736.60
020052.001,0,NULL,NULL,NULL,,585082.31
020052.001,1,NULL,2012-12-31T00:00:00,2013-09-30T00:00:00,,NULL
020052.002,0,NULL,2013-03-01T00:00:00,2013-09-30T00:00:00,,450000.00
020052.002,03,NULL,2013-03-01T00:00:00,2014-03-31T00:00:00,,150000.00
020053.001,NULL,NULL,NULL,NULL,,NULL
020053.002,0,NULL,2013-09-28T00:00:00,2015-09-30T00:00:00,,5346725.00
020053.002,02,NULL,NULL,NULL,,1494961.82
020053.002,03,"Mod 3 adds $35,000.00.",NULL,NULL,,35000.00
020053.002,04,"Mod 4 adds $49,387.00.",NULL,NULL,,49387.00
020053.002,1,Administrative Mod to incorporate revised Payment Schedule,NULL,NULL,,NULL
020053.002,5,Mod 5 extends the POP through 12/20/15.,2013-09-28T00:00:00,2015-12-30T00:00:00,,NULL
020053.002,6,NULL,2013-09-28T00:00:00,2016-03-29T00:00:00,,NULL
020053.002,7,NULL,NULL,NULL,,-10310.00
020054,0,NULL,NULL,NULL,,2097761.51
020054,06,"Spring 2013 NTP, POP Extension, and Temporary Runway Marking Changes.",2012-11-10T00:00:00,2013-06-27T00:00:00,,NULL
020054,07,POP Change Only,2012-11-10T00:00:00,2013-07-20T00:00:00,,NULL
020054,08,NULL,NULL,NULL,,30209.99
020054,1,NULL,NULL,NULL,,NULL
020054,2,NULL,NULL,NULL,,NULL
020054,3,NULL,NULL,NULL,,14566.74
020054,4,NULL,NULL,NULL,,20537.92
020054,5,"Revised Completion Date is TBD, Winter Shutdown 11/30/12 - 5/1/13.",NULL,NULL,,33779.37
020054,9,Final Closeout Documents,NULL,NULL,,NULL
020055,1,"Final checklist, release & PSR  ",NULL,NULL,,NULL
020056.001,0,NULL,NULL,NULL,,47638.54
020056.001,1,NULL,NULL,NULL,,3797.89
020056.001,2,NULL,NULL,NULL,,-9587.31
020056.002,0,Originally Entered to NWS but PO awarded to NWI,NULL,NULL,,69986.90
020056.002,1,NULL,NULL,NULL,,-6907.83
020056.003,0,"Orig PO = $26,046.68",NULL,NULL,,26046.68
020056.003,1,"Mod 1 = $25,986.28",NULL,NULL,,25986.28
020056.003,2,"Final Deobligation, PSR & Checklist",NULL,NULL,,-2642.98
020056.004,0,NULL,NULL,NULL,,10373.99
020056.004,1,NULL,NULL,NULL,,-5961.49
020056.005,NULL,NULL,NULL,NULL,,NULL
020056.005,NULL,NULL,NULL,NULL,,NULL
020056.006,0,NULL,NULL,NULL,,13330.00
020056.006,1,NULL,NULL,NULL,,512.50
020057,NULL,NULL,NULL,NULL,,NULL
020058,NULL,NULL,NULL,NULL,,NULL
020059,NULL,"Previous change to add consulting hour request #4 was off by $15.16 This entry makes the total dollar amount in dashboard equal to contract value of $324,936.20.",NULL,NULL,,-15.16
020059,0,NULL,2012-08-03T00:00:00,2013-11-30T00:00:00,,274449.06
020059,1,POP extension only,2012-08-03T00:00:00,2014-12-30T00:00:00,,NULL
020059,CHR,"CHR 1 = $7,880.10, CHR 2 = $1,719.53, CHR 3 = $14,826.00 (revised 10/28/13), CHR 4 = $26,076.67",2012-08-03T00:00:00,2013-11-30T00:00:00,,50502.30
020059,P00002,NULL,2012-08-03T00:00:00,2017-08-01T00:00:00,,NULL
020060,0,NULL,2012-08-31T00:00:00,2021-08-31T00:00:00,,2496824.99
020060,1,Admin mod to correct rate schdule,NULL,NULL,,NULL
020060,2,Admin mod to change contract language,NULL,NULL,,NULL
020060,3,NULL,NULL,NULL,,2230007.87
020062,5 to rel 2,NULL,NULL,NULL,,225000.00
020062,Amend 3 to MSA,NULL,NULL,NULL,,NULL
020062,Amend 4 to Rel 2,NULL,NULL,NULL,,NULL
020062,Amnd 10 to Rel 1,NULL,NULL,NULL,,NULL
020062,Mod 1 MSA,NULL,NULL,NULL,,NULL
020062,Mod 1 Rel 1,NULL,NULL,NULL,,NULL
020062,Mod 1 Rel 2,NULL,NULL,NULL,,80075.00
020062,Mod 11 to Rel 1,NULL,NULL,NULL,,1900000.00
020062,Mod 12 to Rel 1,NULL,NULL,NULL,,1376000.00
020062,Mod 2 MSA,NULL,NULL,NULL,,NULL
020062,Mod 2 Rel 1,NULL,NULL,NULL,,432490.00
020062,Mod 3 Rel 1,NULL,NULL,NULL,,878472.00
020062,Mod 4 to MSA,NULL,NULL,NULL,,NULL
020062,Mod 4 to Rel 1,NULL,NULL,NULL,,4489200.00
020062,Mod 5 to Rel 1,NULL,NULL,NULL,,952300.00
020062,Mod 6 to MSA,NULL,NULL,NULL,,NULL
020062,Mod 9 to Rel 1,NULL,NULL,NULL,,6138964.00
020062,MSA Amed 7,NULL,2012-10-01T00:00:00,2016-09-30T00:00:00,,NULL
020062,REL 1,NULL,NULL,NULL,,1890000.00
020062,Rel 2,NULL,NULL,NULL,,40000.00
020063.000,NULL,NULL,NULL,NULL,,NULL
020064,0,NULL,NULL,NULL,,26600.00
020064,1,Mod 1 - Client approved an additional 2 hours of labor (see attached invoice).  Expenses were estimated and NW exceeded the estimate.  Client should pay revised invoice amount.,NULL,NULL,,702.52
020064,2,"Client approved by email additional hours and expenses were estimated, but came in higher then the estimate, therefore NW is billing above the contract ceiling amount.",NULL,NULL,,96.97
020065.001,0,See general contract set up for contract files.,NULL,NULL,,4200.00
020065.001,1,NULL,2013-05-14T00:00:00,2013-06-30T00:00:00,,4000.00
020065.002,0,No direct labor on this job.  All a pass through to our subcontractor Worley Parsons.,NULL,NULL,,NULL
020065.003,0,NULL,2013-01-23T00:00:00,2013-05-31T00:00:00,,5375.94
020065.004,0,"No change, just the original contract.",NULL,NULL,,NULL
020065.005,0,NULL,NULL,NULL,,5000.00
020065.005,1,"Mod 1 extends the contract through May 31, 2013.  No additional funds are added.",2013-02-07T00:00:00,2013-05-31T00:00:00,,NULL
020065.006,0,NULL,2013-06-20T00:00:00,2013-07-12T00:00:00,,10000.00
020065.006,1,NULL,2013-06-20T00:00:00,2013-07-31T00:00:00,,NULL
020065.007,0,NULL,2013-08-12T00:00:00,2013-10-31T00:00:00,,120000.00
020065.007,1,Mod 1 is an administrative change only.  ,2013-08-12T00:00:00,2013-10-31T00:00:00,,NULL
020065.007,2,Mod 2 adds the billing rate for Bill Grams.,NULL,NULL,,NULL
020065.007,3,Mod 3 incorporates Scope and Price for SAL TK-1 and extends the POP.  It also incorporates QA clauses and adds new NW performers.,2013-08-12T00:00:00,2014-06-30T00:00:00,,80300.00
020065.008,0,NULL,2014-08-13T00:00:00,2015-09-30T00:00:00,,10000.00
020065.008,1,Administrative Mod to incorporate Non-Labor adder allowances.,NULL,NULL,,NULL
020065.008,2,NULL,NULL,NULL,,40000.00
020065.008,closeout,Funds have been de-obligated in order to match the amount billed to and paid by the client.,NULL,NULL,,-20275.64
020066.001,0,NULL,NULL,NULL,,95000.00
020066.001,1,Final Closeout Deobligation and Checklist,NULL,NULL,,-46748.75
020066.002,0,NULL,NULL,NULL,,62000.00
020066.002,1,NULL,NULL,NULL,,26000.00
020066.002,2,Remaining funding (deobligated) from 20056.004 added to this Task Per Client Request.,NULL,NULL,,5961.49
020066.002,3,"Increase funding per PM, see attached NWS invoice and message",NULL,NULL,,20291.82
020066.002,4,Final Accounting deobligation and Checklist,NULL,NULL,,-7920.55
020066.003,0,NULL,NULL,NULL,,198000.00
020066.003,1,Final Deobligation and Checklist for Closeout,NULL,NULL,,-29982.10
020066.004,0,NULL,NULL,NULL,,373000.00
020066.004,1,"Increase funding by $35,100.",NULL,NULL,,35100.00
020066.004,2,NULL,NULL,NULL,,40000.00
020066.004,3,NULL,NULL,NULL,,88000.00
020066.004,4,Final Deobligation and Checklist for closeout,NULL,NULL,,-66305.88
