Status,Contract Number,Task Order Number,Project Number,IsIDIQ,IsTaskOrder,IsPrime,Subcontract Number,Org ID,Title,Description,Award Amount,Funded Amount,POP Start,POP End,Contract Country,Contract State,NAICS,PSC,CPAR eligible?,Quality Level,Acquisition Type,Competition,Contract Type,Currency,Billing Address,Billing Frequency,G&A %,OH %,Fee %,Invoice Submission Method,Payment Terms,Applicable Wage Determination,Billing Formula,Revenue Formula,Revenue Recognition EAC %,Onsite OH,Offsite OH,Contract Rep,Project Controls Rep,Project Manager,Accounting Rep,Awarding Agency,Award Agency Contract Representative,Awarding Agency Technical Representative,Funding Agency,Funding Agency Contract Representative,Funding Agency Technical Representative,Human Resources Rep,Action,Purchasing Rep,Subcontract Rep
Inactive,,,10578,0,0,0,,02.30.04,INRMP CHARLESTON SC,,98232.66,98232.66,2011-08-10T00:00:00,2012-08-09T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10578,0,0,0,,02.30.04,INRMP CHARLESTON SC,,98232.66,98232.66,2011-08-10T00:00:00,2012-08-09T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10583.002,0,0,0,,01.10.02,O&M OF IDW FACILITY,,128670,128670,2011-10-01T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10583.002,0,0,0,,01.10.02,O&M OF IDW FACILITY,,128670,128670,2011-10-01T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,3,10583.003,0,0,0,,01.10.02,FORT MORROW TRIAD & PLANN,,188982,188982,2011-12-15T00:00:00,2014-07-31T00:00:00,USA,AK,562910,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,4489,145,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,3,10583.003,0,0,0,,01.10.02,FORT MORROW TRIAD & PLANN,,188982,188982,2011-12-15T00:00:00,2014-07-31T00:00:00,USA,AK,562910,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,4489,145,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,,10587,0,0,0,,02.30.04,COTTERELL RA,,6668.89,6668.89,2011-08-30T00:00:00,2012-09-30T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10587,0,0,0,,02.30.04,COTTERELL RA,,6668.89,6668.89,2011-08-30T00:00:00,2012-09-30T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,8,10589.008,0,0,0,,01.20.01,POND CLOSURE HWMUs A,,55859.33,56000,2012-01-01T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,8,10589.008,0,0,0,,01.20.01,POND CLOSURE HWMUs A,,55859.33,56000,2012-01-01T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,9,10589.009,0,0,0,,01.20.01,POND CLOSURE HWMUs B,,70342.92,65725.36,2012-01-01T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,9,10589.009,0,0,0,,01.20.01,POND CLOSURE HWMUs B,,70342.92,65725.36,2012-01-01T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,13,10589.013,0,0,0,,01.20.01,SKID UNIT AIR PERMIT SWPP,,78483.76,86282.75,2012-01-02T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,13,10589.013,0,0,0,,01.20.01,SKID UNIT AIR PERMIT SWPP,,78483.76,86282.75,2012-01-02T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,14,10589.014,0,0,0,,01.20.01,MTBE MTG SUPPORT MAR 2012,,28268.5,28268.5,2012-03-13T00:00:00,2013-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,416,281,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,14,10589.014,0,0,0,,01.20.01,MTBE MTG SUPPORT MAR 2012,,28268.5,28268.5,2012-03-13T00:00:00,2013-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,416,281,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,15,10589.015,0,0,0,,01.20.01,AERIAL SURVEY,,38932.64,38932.64,2012-03-19T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,15,10589.015,0,0,0,,01.20.01,AERIAL SURVEY,,38932.64,38932.64,2012-03-19T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,16,10589.016,0,0,0,,01.20.01,MSGP SWPPP REVISION,,8912.5,8912.5,2012-03-19T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,16,10589.016,0,0,0,,01.20.01,MSGP SWPPP REVISION,,8912.5,8912.5,2012-03-19T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,CPC-18130,17,10589.017,0,0,1,,01.20.01,NPDES POND CONSTRCTN MGMT,,201821.79,201821.79,2012-03-28T00:00:00,2012-12-31T00:00:00,USA,PR,562910,,,2,Unrestricted,Non-Competed,Time and Materials,,"Ms. Paula Mrozek, 10001 Six Pines Dr. 4122A, The Woodlands, TX 77380",,,,,,,,,,,,,416,281,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,CPC-18130,17,10589.017,0,0,1,,01.20.01,NPDES POND CONSTRCTN MGMT,,201821.79,201821.79,2012-03-28T00:00:00,2012-12-31T00:00:00,USA,PR,562910,,,2,Unrestricted,Non-Competed,Time and Materials,,"Ms. Paula Mrozek, 10001 Six Pines Dr. 4122A, The Woodlands, TX 77380",,,,,,,,,,,,,416,281,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,2,10589.02,0,0,0,,02.30.04,2012 REVISE HWMU CLOSURE,,17088.97,17088.97,2012-05-01T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10589.02,0,0,0,,02.30.04,2012 REVISE HWMU CLOSURE,,17088.97,17088.97,2012-05-01T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10591,0,0,0,,02.30.04,COMP NAT RES HABITAT SURV,,114445,114445,2011-09-15T00:00:00,2012-09-14T00:00:00,USA,,0,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,41,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10591,0,0,0,,02.30.04,COMP NAT RES HABITAT SURV,,114445,114445,2011-09-15T00:00:00,2012-09-14T00:00:00,USA,,0,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,41,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10592,0,0,0,,02.30.04,THREATENED & ENDANGERED S,,104930,104930,2011-09-15T00:00:00,2012-09-14T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10592,0,0,0,,02.30.04,THREATENED & ENDANGERED S,,104930,104930,2011-09-15T00:00:00,2012-09-14T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10593,0,0,0,,02.30.04,UPDATE HAZARDOUS MATERIAL,,37452,37452,2011-09-20T00:00:00,2012-09-19T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10593,0,0,0,,02.30.04,UPDATE HAZARDOUS MATERIAL,,37452,37452,2011-09-20T00:00:00,2012-09-19T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10597,0,0,0,,02.30.04,ENDANGERED SPECIES HABITA,,137774,137774,2011-09-12T00:00:00,2012-09-11T00:00:00,USA,,,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10597,0,0,0,,02.30.04,ENDANGERED SPECIES HABITA,,137774,137774,2011-09-12T00:00:00,2012-09-11T00:00:00,USA,,,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10598,0,0,0,,02.30.04,RECYCLING PROGRAM BUSINES,,29926.54,29926.54,2011-09-15T00:00:00,2012-09-14T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10598,0,0,0,,02.30.04,RECYCLING PROGRAM BUSINES,,29926.54,29926.54,2011-09-15T00:00:00,2012-09-14T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10601.001,0,0,0,,02.30.04,GEGT LAND USE CONTROL PLA,,9700,9700,2011-09-14T00:00:00,2012-08-31T00:00:00,USA,,0,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10601.001,0,0,0,,02.30.04,GEGT LAND USE CONTROL PLA,,9700,9700,2011-09-14T00:00:00,2012-08-31T00:00:00,USA,,0,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10603,0,0,0,,02.30.04,TILLER RANGER STATION,,4930,4930,2011-09-21T00:00:00,2012-06-30T00:00:00,USA,,NONE,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,145,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10603,0,0,0,,02.30.04,TILLER RANGER STATION,,4930,4930,2011-09-21T00:00:00,2012-06-30T00:00:00,USA,,NONE,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,145,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10604.001,0,0,0,,02.30.04,PEGGY HINMAN,,65678.22,20678.22,2008-10-01T00:00:00,2012-06-30T00:00:00,USA,,541612,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10604.001,0,0,0,,02.30.04,PEGGY HINMAN,,65678.22,20678.22,2008-10-01T00:00:00,2012-06-30T00:00:00,USA,,541612,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10606,0,0,0,,01.20.01,AMWTP TRU WASTE,,2225000,2225000,2011-10-01T00:00:00,2016-05-31T00:00:00,USA,,541990,,,,,,Time and Materials,,,,,,,,,,,,,,,449,145,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,,10606,0,0,0,,01.20.01,AMWTP TRU WASTE,,2225000,2225000,2011-10-01T00:00:00,2016-05-31T00:00:00,USA,,541990,,,,,,Time and Materials,,,,,,,,,,,,,,,449,145,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,,10608,0,0,0,,01.20.01,AMWTP BASELINE,,392000,392000,2011-10-01T00:00:00,2012-09-30T00:00:00,USA,,NONE,,,,,,Time and Materials,,,,,,,,,,,,,,,,145,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10608,0,0,0,,01.20.01,AMWTP BASELINE,,392000,392000,2011-10-01T00:00:00,2012-09-30T00:00:00,USA,,NONE,,,,,,Time and Materials,,,,,,,,,,,,,,,,145,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10609,0,0,0,,02.30.04,ATLAS 12 OFFSITE SUPPLEME,,87046,87046,2011-09-27T00:00:00,2013-07-01T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10609,0,0,0,,02.30.04,ATLAS 12 OFFSITE SUPPLEME,,87046,87046,2011-09-27T00:00:00,2013-07-01T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10611.001,0,0,0,,02.30.04,OLD HIGHWAY 37 NARROWS,,12238.39,12238.39,2011-09-01T00:00:00,2011-12-15T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,569,,,,,,,,Add,,
Inactive,,1,10611.001,0,0,0,,02.30.04,OLD HIGHWAY 37 NARROWS,,12238.39,12238.39,2011-09-01T00:00:00,2011-12-15T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,569,,,,,,,,Add,,
Inactive,,2,10618.002,0,0,0,,01.30.04,Q2/2012 AUGUST CHEMICAL G,,7485,7720,2012-05-11T00:00:00,2012-06-30T00:00:00,USA,,0,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10618.002,0,0,0,,01.30.04,Q2/2012 AUGUST CHEMICAL G,,7485,7720,2012-05-11T00:00:00,2012-06-30T00:00:00,USA,,0,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,DE-EM0001467,,10622,0,0,0,12-152,01.20.01,STAFF AUG,,432522,432522,2011-10-07T00:00:00,2016-05-31T00:00:00,USA,ID,562910,,,2,Unrestricted,Non-Competed,Time and Materials,,,,,,,,,Service Contract Act,,,,,,449,145,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,DE-EM0001467,,10622,0,0,0,12-152,01.20.01,STAFF AUG,,432522,432522,2011-10-07T00:00:00,2016-05-31T00:00:00,USA,ID,562910,,,2,Unrestricted,Non-Competed,Time and Materials,,,,,,,,,Service Contract Act,,,,,,449,145,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,1,10628.001,0,0,0,,01.20.01,YALE RD CASSIA CO STG 3,,19693.53,19693.53,2011-12-14T00:00:00,2012-06-25T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,569,,,,,,,,Add,,
Inactive,,1,10628.001,0,0,0,,01.20.01,YALE RD CASSIA CO STG 3,,19693.53,19693.53,2011-12-14T00:00:00,2012-06-25T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,569,,,,,,,,Add,,
Inactive,,,10630,0,0,0,,02.30.04,KC-MISC AIR PERMITTING SE,,50000,50000,2012-01-05T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10630,0,0,0,,02.30.04,KC-MISC AIR PERMITTING SE,,50000,50000,2012-01-05T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10631,0,0,0,,02.30.04,MISC AIR PERMITTING SERVI,,5200,5200,2012-01-06T00:00:00,2012-07-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10631,0,0,0,,02.30.04,MISC AIR PERMITTING SERVI,,5200,5200,2012-01-06T00:00:00,2012-07-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10632,0,0,0,,02.30.04,FM-TV RENEWAL,,15000,15000,2012-01-04T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10632,0,0,0,,02.30.04,FM-TV RENEWAL,,15000,15000,2012-01-04T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10633.001,0,0,0,,02.30.04,GE SVE INSTALLATION PERMI,,3000,3000,2012-01-09T00:00:00,2012-06-30T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10633.001,0,0,0,,02.30.04,GE SVE INSTALLATION PERMI,,3000,3000,2012-01-09T00:00:00,2012-06-30T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10633.002,0,0,0,,02.30.04,GEGT SVE INSTALLATION&REP,,57308,57308,2012-05-29T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10633.002,0,0,0,,02.30.04,GEGT SVE INSTALLATION&REP,,57308,57308,2012-05-29T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10634.002,0,0,0,,02.30.04,RT SEMIANNUAL/2012 GROUNW,,10004.2,10004.2,2012-01-16T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10634.002,0,0,0,,02.30.04,RT SEMIANNUAL/2012 GROUNW,,10004.2,10004.2,2012-01-16T00:00:00,2012-12-31T00:00:00,USA,,0,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10636,0,0,0,,02.30.04,FM LIKE FOR LIKE REPLACEM,,7950,7950,2012-01-09T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10636,0,0,0,,02.30.04,FM LIKE FOR LIKE REPLACEM,,7950,7950,2012-01-09T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10638,0,0,0,,02.30.04,2012 GE C&D LANDFILL SAMP,,6530,6530,2012-01-23T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10638,0,0,0,,02.30.04,2012 GE C&D LANDFILL SAMP,,6530,6530,2012-01-23T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10639.001,0,0,0,,01.20.01,ADAMS GULCH ROAD,,35816.2,35816.2,2012-06-01T00:00:00,2015-08-31T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,1,10639.001,0,0,0,,01.20.01,ADAMS GULCH ROAD,,35816.2,35816.2,2012-06-01T00:00:00,2015-08-31T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,,10640,0,0,0,,02.30.04,FM RECLAIM PERMITTING,,6500,6500,2012-01-25T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10640,0,0,0,,02.30.04,FM RECLAIM PERMITTING,,6500,6500,2012-01-25T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Firm Fixed Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10641.001,0,0,0,,02.30.04,GE 2012 FREE PRODUCT REMO,,4000,4000,2012-01-23T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10641.001,0,0,0,,02.30.04,GE 2012 FREE PRODUCT REMO,,4000,4000,2012-01-23T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10641.002,0,0,0,,02.30.04,GE SEMI ANNUAL SAMPLING &,,25525,25525,2012-01-23T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10641.002,0,0,0,,02.30.04,GE SEMI ANNUAL SAMPLING &,,25525,25525,2012-01-23T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,3,10641.003,0,0,0,,02.30.04,GE ANNUAL SAMPLING & REPO,,13700,13700,2012-01-23T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,3,10641.003,0,0,0,,02.30.04,GE ANNUAL SAMPLING & REPO,,13700,13700,2012-01-23T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Fixed Unit Price,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10643,0,0,0,,02.30.04,FT LEONARD WOOD DENTAL CL,,42210,42210,2012-02-22T00:00:00,2012-05-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,416,,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,,,10643,0,0,0,,02.30.04,FT LEONARD WOOD DENTAL CL,,42210,42210,2012-02-22T00:00:00,2012-05-31T00:00:00,USA,,0,,,,,,Time and Materials,,,,,,,,,,,,,,,416,,bakins@northwindgrp.com,184,,,,,,,,Add,,
Inactive,DE-EM0000837,,10644,0,0,1,,01.20.01,TASK ORDER 1,,,0,2010-10-17T00:00:00,2016-10-17T00:00:00,USA,,562910,,,2,Small Business,,,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,DE-EM0000837,,10644,0,0,1,,01.20.01,TASK ORDER 1,,,0,2010-10-17T00:00:00,2016-10-17T00:00:00,USA,,562910,,,2,Small Business,,,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10645,0,0,0,800.102-01,02.30.04,EIE336 REPAIR PIPE SUPPOR,,57640.84,,2012-03-01T00:00:00,2012-12-31T00:00:00,USA,,NONE,,,2,Small Business,Non-Competed,Firm Fixed Price,,Same As Contracting Officer info,,,,8,,,Service Contract Act,,,,,,416,,bakins@northwindgrp.com,278,,,,,,,,Add,,
Inactive,,,10645,0,0,0,800.102-01,02.30.04,EIE336 REPAIR PIPE SUPPOR,,57640.84,,2012-03-01T00:00:00,2012-12-31T00:00:00,USA,,NONE,,,2,Small Business,Non-Competed,Firm Fixed Price,,Same As Contracting Officer info,,,,8,,,Service Contract Act,,,,,,416,,bakins@northwindgrp.com,278,,,,,,,,Add,,
Inactive,,,10646,0,0,0,,02.30.04,2012 KELLETT PROPERTY SIT,,151239,151239,2012-02-22T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10646,0,0,0,,02.30.04,2012 KELLETT PROPERTY SIT,,151239,151239,2012-02-22T00:00:00,2013-03-01T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10648,0,0,0,,02.30.04,DUBOIS IC SURVEY SUPPORT,,13476.4,13476.4,2012-02-24T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,,10648,0,0,0,,02.30.04,DUBOIS IC SURVEY SUPPORT,,13476.4,13476.4,2012-02-24T00:00:00,2012-12-31T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10652.001,0,0,0,,02.30.04,US 20 DEL RIO BRIDGE,,5126.85,0,2012-03-07T00:00:00,2012-05-30T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,569,,,,,,,,Add,,
Inactive,,1,10652.001,0,0,0,,02.30.04,US 20 DEL RIO BRIDGE,,5126.85,0,2012-03-07T00:00:00,2012-05-30T00:00:00,USA,,541620,,,,,,Cost Plus Fixed Fee,,,,,,,,,,,,,,,449,,bakins@northwindgrp.com,569,,,,,,,,Add,,
Inactive,,1,10653.001,0,0,0,,02.30.04,TITLE V PERMIT RENEWAL,,16000,16000,2012-03-08T00:00:00,2013-02-28T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,1,10653.001,0,0,0,,02.30.04,TITLE V PERMIT RENEWAL,,16000,16000,2012-03-08T00:00:00,2013-02-28T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10653.002,0,0,0,,02.30.04,COMPLIANCE RECORDKEEPING,,26500,26500,2012-03-08T00:00:00,2013-02-28T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
Inactive,,2,10653.002,0,0,0,,02.30.04,COMPLIANCE RECORDKEEPING,,26500,26500,2012-03-08T00:00:00,2013-02-28T00:00:00,USA,,,,,,,,Time and Materials,,,,,,,,,,,,,,,,,bakins@northwindgrp.com,,,,,,,,,Add,,
